,rankings,countries,points
0,1,Brazil,1837.56
1,2,Belgium,1821.92
2,3,Argentina,1770.65
3,4,France,1764.85
4,5,England,1737.46
5,6,Spain,1716.93
6,7,Italy,1713.86
7,8,Netherlands,1679.41
8,9,Portugal,1678.65
9,10,Denmark,1665.47
10,11,Germany,1658.96
11,12,Mexico,1649.57
12,13,Uruguay,1640.95
13,14,USA,1635.01
14,15,Croatia,1632.15
15,16,Switzerland,1621.43
16,17,Colombia,1604.07
17,18,Senegal,1584.59
18,19,Wales,1582.13
19,20,Sweden,1563.44
20,21,Peru,1562.24
21,22,IR Iran,1558.64
22,23,Morocco,1558.35
23,24,Japan,1554.69
24,25,Serbia,1549.53
25,26,Poland,1546.18
26,27,Ukraine,1542.79
27,28,Korea Republic,1526.02
28,29,Chile,1514.86
29,30,Tunisia,1507.86
30,31,Nigeria,1504.7
31,32,Czech Republic,1502.9
32,33,Austria,1502.47
33,34,Costa Rica,1500.06
34,35,Russia,1493.42
35,36,Norway,1488.57
36,37,Hungary,1486.76
37,38,Cameroon,1484.95
38,39,Australia,1483.73
39,40,Egypt,1482.63
40,41,Algeria,1480.59
41,42,Türkiye,1475.13
42,43,Canada,1473.82
43,44,Ecuador,1463.74
44,45,Scotland,1462.96
45,46,Mali,1442.88
46,47,Republic of Ireland,1442.48
47,48,Qatar,1441.97
48,49,Greece,1441.45
49,50,Paraguay,1440.13
50,51,Slovakia,1439.99
51,52,Côte d’Ivoire,1435.91
52,53,Saudi Arabia,1435.74
53,54,Romania,1427.84
54,55,Burkina Faso,1425.64
55,56,Venezuela,1405.17
56,57,Bosnia and Herzegovina,1403.98
57,58,Northern Ireland,1399.1
58,59,Finland,1398.41
59,60,Ghana,1393.47
60,61,Panama,1389.27
61,62,Jamaica,1382.06
62,63,Iceland,1379.61
63,64,North Macedonia,1375.2
64,65,Slovenia,1372.48
65,66,Albania,1361.81
66,67,Montenegro,1354.59
67,68,South Africa,1350.55
68,69,United Arab Emirates,1346.09
69,70,Iraq,1338.91
70,71,El Salvador,1333.48
71,72,Congo DR,1332.84
72,73,Cabo Verde,1331.46
73,74,Bulgaria,1325.16
74,75,Oman,1323.03
75,76,Israel,1316.35
76,77,Uzbekistan,1306.63
77,78,China PR,1305.06
78,79,Gabon,1301.84
79,80,Honduras,1299.69
80,81,Bolivia,1298.81
81,82,Georgia,1296.46
82,83,Guinea,1294.89
83,84,Curaçao,1293.35
84,85,Bahrain,1289.25
85,86,Jordan,1279.74
86,87,Zambia,1270.8
87,88,Haiti,1269.07
88,89,Syria,1265.03
89,90,Uganda,1264.56
90,91,Benin,1258.71
91,92,Armenia,1242.42
92,93,Luxembourg,1235.36
93,94,Palestine,1233.72
94,95,Kyrgyz Republic,1232.91
95,96,Belarus,1226.55
96,97,Vietnam,1218.84
97,98,Equatorial Guinea,1215.33
98,99,Congo,1215.09
99,100,Lebanon,1211.71
100,101,Trinidad and Tobago,1205.85
101,102,Kenya,1202.26
102,103,New Zealand,1198.96
103,104,India,1198.65
104,105,Madagascar,1193.78
105,106,Kosovo,1183.9
106,107,Mauritania,1181.86
107,108,Cyprus,1180.52
108,109,Tajikistan,1179.1
109,110,Estonia,1177.4
110,111,Thailand,1170.69
111,112,Korea DPR,1169.96
112,113,Sierra Leone,1169.71
113,114,Kazakhstan,1166.28
114,115,Guinea-Bissau,1165.53
115,116,Mozambique,1165.41
116,117,Namibia,1164.13
117,118,Guatemala,1161.96
118,119,Niger,1155.23
119,120,Angola,1149.08
120,121,Libya,1148.36
121,122,Malawi,1144.77
122,123,Zimbabwe,1138.56
123,124,Gambia,1137.47
124,125,Faroe Islands,1136.29
125,126,Togo,1130.22
126,127,Comoros,1127.44
127,128,Azerbaijan,1127.17
128,129,Latvia,1125.36
129,130,Sudan,1124.91
130,131,Tanzania,1121.91
131,132,Antigua and Barbuda,1117.01
132,133,Central African Republic,1116.06
133,134,Philippines,1115.13
134,135,Turkmenistan,1100.47
135,136,Rwanda,1095.04
136,137,Solomon Islands,1092.56
137,138,Ethiopia,1088.27
138,139,Nicaragua,1079.18
139,140,St. Kitts and Nevis,1076.91
140,141,Burundi,1076.26
141,142,Lithuania,1074.08
142,143,Suriname,1072.24
143,144,Eswatini,1070.89
144,145,Lesotho,1061.4
145,146,Botswana,1060.17
146,147,Hong Kong,1058.37
147,148,Malaysia,1057.59
148,149,Kuwait,1053.41
149,150,Liberia,1051.25
150,151,Dominican Republic,1031.86
151,152,Andorra,1028.7
152,153,Yemen,1023.52
153,154,Afghanistan,1023.04
154,155,Indonesia,1019.19
155,156,Maldives,1018.25
156,157,Chinese Taipei,1017.78
157,158,Myanmar,1011.91
158,159,Singapore,1004.75
159,160,New Caledonia,999.7
160,161,Papua New Guinea,997.6
161,162,Tahiti,995.11
162,163,Fiji,993.37
163,164,Vanuatu,990.55
164,165,South Sudan,983.99
165,166,Barbados,982.27
166,167,Cuba,978.65
167,168,Bermuda,977.47
168,169,Malta,974.68
169,170,Puerto Rico,974.32
170,171,Grenada,969
171,172,Guyana,968.74
172,173,St. Lucia,965.66
173,174,Cambodia,954.3
174,175,Belize,950.88
175,176,Nepal,950.45
176,177,Moldova,944.96
177,178,Montserrat,940.78
178,179,St. Vincent and the Grenadines,939.97
179,180,Mauritius,932.02
180,181,Chad,931.98
181,182,Macau,922.1
182,183,Laos,914.66
183,184,Mongolia,913.55
184,185,Dominica,911.51
185,186,Bhutan,910.96
186,187,São Tomé and Príncipe,908.18
187,188,American Samoa,900.27
188,189,Cook Islands,899.33
189,190,Brunei Darussalam,897.1
190,191,Samoa,894.26
191,192,Bangladesh,883.18
192,193,Djibouti,877.84
193,194,Liechtenstein,873.99
194,195,Pakistan,866.81
195,196,Cayman Islands,865.72
196,197,Tonga,861.81
197,198,Seychelles,860.48
198,199,Timor-Leste,860.06
199,200,Gibraltar,856.55
200,201,Eritrea,855.56
201,202,Aruba,855.37
202,203,Bahamas,854.8
203,204,Somalia,854.72
204,205,Guam,838.33
205,206,Turks and Caicos Islands,832
206,207,Sri Lanka,825.25
207,208,US Virgin Islands,823.97
208,209,British Virgin Islands,809.32
209,210,Anguilla,790.74
210,211,San Marino,763.82
